ds,net,aug,cond_diff,denoise_mode,min,max,val_loss,noise,ts
ecg5k,bilstm,diff_aug,False,dpm,0.48995832602183026,2.3130199114481607,0.48995832602183026,0.0,2
ecg5k,bilstm,diff_aug,False,dpm,0.48995832602183026,2.3130199114481607,0.5426717102527618,0.0,3
ecg5k,bilstm,diff_aug,False,dpm,0.48995832602183026,2.3130199114481607,0.6679472327232361,0.0,1
ecg5k,bilstm,diff_aug,False,dpm,0.48995832602183026,2.3130199114481607,0.6701338986555735,0.21,2
ecg5k,bilstm,diff_aug,False,dpm,0.48995832602183026,2.3130199114481607,0.6804331640402476,0.11,1
ecg5k,bilstm,diff_aug,False,dpm,0.48995832602183026,2.3130199114481607,0.6917333702246348,0.32,3
ecg5k,bilstm,diff_aug,False,dpm,0.48995832602183026,2.3130199114481607,0.6991802851359049,0.32,2
ecg5k,bilstm,diff_aug,False,dpm,0.48995832602183026,2.3130199114481607,0.7121268411477407,0.05,1
ecg5k,bilstm,diff_aug,False,dpm,0.48995832602183026,2.3130199114481607,0.7226441899935404,0.05,2
ecg5k,bilstm,diff_aug,False,dpm,0.48995832602183026,2.3130199114481607,0.7318547566731771,0.11,2
ecg5k,bilstm,diff_aug,False,dpm,0.48995832602183026,2.3130199114481607,0.7417670786380768,0.16,1
ecg5k,bilstm,diff_aug,False,dpm,0.48995832602183026,2.3130199114481607,0.7565989096959432,0.16,2
ecg5k,bilstm,diff_aug,False,dpm,0.48995832602183026,2.3130199114481607,0.7567619482676188,0.21,1
ecg5k,bilstm,diff_aug,False,dpm,0.48995832602183026,2.3130199114481607,0.7776198287804922,0.42,2
ecg5k,bilstm,diff_aug,False,dpm,0.48995832602183026,2.3130199114481607,0.7796712319056193,0.21,3
ecg5k,bilstm,diff_aug,False,dpm,0.48995832602183026,2.3130199114481607,0.8013505538304647,0.08,2
ecg5k,bilstm,diff_aug,False,dpm,0.48995832602183026,2.3130199114481607,0.8119511604309082,0.16,3
ecg5k,bilstm,diff_aug,False,dpm,0.48995832602183026,2.3130199114481607,0.8620604077974955,0.05,3
ecg5k,bilstm,diff_aug,False,dpm,0.48995832602183026,2.3130199114481607,0.8773195743560791,0.08,1
ecg5k,bilstm,diff_aug,False,dpm,0.48995832602183026,2.3130199114481607,0.9060014486312866,0.08,3
ecg5k,bilstm,diff_aug,False,dpm,0.48995832602183026,2.3130199114481607,0.9248780012130737,0.11,3
ecg5k,bilstm,diff_aug,False,dpm,0.48995832602183026,2.3130199114481607,0.9299674232800802,0.32,1
ecg5k,bilstm,diff_aug,False,dpm,0.48995832602183026,2.3130199114481607,0.9597564737002054,0.63,2
ecg5k,bilstm,diff_aug,False,dpm,0.48995832602183026,2.3130199114481607,0.9601535499095917,0.42,1
ecg5k,bilstm,diff_aug,False,dpm,0.48995832602183026,2.3130199114481607,0.992999533812205,0.53,1
ecg5k,bilstm,diff_aug,False,dpm,0.48995832602183026,2.3130199114481607,0.9964089592297872,1.37,2
